Muni;Mun1;CodigoMunicipio;CodMun ;Mun2
SOLITA;Solita;18785;18785;Solita
VALPARAÍSO;Valparaíso;18860;18860;Valparaíso
YOPAL;Yopal;85001;85001;Yopal
AGUAZUL;Aguazul;85010;85010;Aguazul
CHAMEZA;Chameza;85015;85015;Chameza
HATO COROZAL;Hato Corozal;85125;85125;Hato Corozal
LA SALINA;La Salina;85136;85136;La Salina
MANÍ;Maní;85139;85139;Maní
MONTERREY;Monterrey;85162;85162;Monterrey
NUNCHÍA;Nunchía;85225;85225;Nunchía
OROCUÉ;Orocué;85230;85230;Orocué
PAZ DE ARIPORO;Paz De Ariporo;85250;85250;Paz De Ariporo
PORE;Pore;85263;85263;Pore
RECETOR;Recetor;85279;85279;Recetor
SABANALARGA;Sabanalarga;85300;85300;Sabanalarga
SÁCAMA;Sácama;85315;85315;Sácama
SAN LUIS DE PALENQUE;San Luis De Palenque;85325;85325;San Luis De Palenque
TÁMARA;Támara;85400;85400;Támara
TAURAMENA;Tauramena;85410;85410;Tauramena
TRINIDAD;Trinidad;85430;85430;Trinidad
VILLANUEVA;Villanueva;85440;85440;Villanueva
POPAYÁN;Popayán;19001;19001;Popayán
ALMAGUER;Almaguer;19022;19022;Almaguer
ARGELIA;Argelia;19050;19050;Argelia
BALBOA;Balboa;19075;19075;Balboa
BOLÍVAR;Bolívar;19100;19100;Bolívar
BUENOS AIRES;Buenos Aires;19110;19110;Buenos Aires
CAJIBÍO;Cajibío;19130;19130;Cajibío
CALDONO;Caldono;19137;19137;Caldono
CALOTO;Caloto;19142;19142;Caloto
CORINTO;Corinto;19212;19212;Corinto
EL TAMBO;El Tambo;19256;19256;El Tambo
FLORENCIA;Florencia;19290;19290;Florencia
GUACHENÉ;Guachené;19300;19300;Guachené
GUAPI;Guapi;19318;19318;Guapi
INZÁ;Inzá;19355;19355;Inzá
JAMBALÓ;Jambaló;19364;19364;Jambaló
LA SIERRA;La Sierra;19392;19392;La Sierra
LA VEGA;La Vega;19397;19397;La Vega
LÓPEZ;López;19418;19418;López
MERCADERES;Mercaderes;19450;19450;Mercaderes
MIRANDA;Miranda;19455;19455;Miranda
MORALES;Morales;19473;19473;Morales
PADILLA;Padilla;19513;19513;Padilla
PAEZ;Paez;19517;19517;Paez
PATÍA;Patía;19532;19532;Patía
PIAMONTE;Piamonte;19533;19533;Piamonte
PIENDAMÓ;Piendamó;19548;19548;Piendamó
PUERTO TEJADA;Puerto Tejada;19573;19573;Puerto Tejada
PURACÉ;Puracé;19585;19585;Puracé
ROSAS;Rosas;19622;19622;Rosas
SAN SEBASTIÁN;San Sebastián;19693;19693;San Sebastián
SANTANDER DE QUILICHAO;Santander De Quilichao;19698;19698;Santander De Quilichao
SANTA ROSA;Santa Rosa;19701;19701;Santa Rosa
SILVIA;Silvia;19743;19743;Silvia
SOTARA;Sotara;19760;19760;Sotara
SUÁREZ;Suárez;19780;19780;Suárez
SUCRE;Sucre;19785;19785;Sucre
TIMBÍO;Timbío;19807;19807;Timbío
TIMBIQUÍ;Timbiquí;19809;19809;Timbiquí
TORIBIO;Toribio;19821;19821;Toribio
TOTORÓ;Totoró;19824;19824;Totoró
VILLA RICA;Villa Rica;19845;19845;Villa Rica
VALLEDUPAR;Valledupar;20001;20001;Valledupar
AGUACHICA;Aguachica;20011;20011;Aguachica
AGUSTÍN CODAZZI;Agustín Codazzi;20013;20013;Agustín Codazzi
ASTREA;Astrea;20032;20032;Astrea
BECERRIL;Becerril;20045;20045;Becerril
BOSCONIA;Bosconia;20060;20060;Bosconia
CHIMICHAGUA;Chimichagua;20175;20175;Chimichagua
CHIRIGUANÁ;Chiriguaná;20178;20178;Chiriguaná
CURUMANÍ;Curumaní;20228;20228;Curumaní
EL COPEY;El Copey;20238;20238;El Copey
EL PASO;El Paso;20250;20250;El Paso
GAMARRA;Gamarra;20295;20295;Gamarra
GONZÁLEZ;González;20310;20310;González
LA GLORIA;La Gloria;20383;20383;La Gloria
